X,Y,OBJECTID,METERTYPE,METERID,ROUTEID,SIDE,MEAS,LON,LAT,DDOTLON,DDOTLAT,DDOTMDSPX,DDOTMDSPY,STREET,BLOCK,METERMODEL,METERSTATUS,METERSTATE,METERSPACES,ISADA,PMZONE,TRANSMISSIONDATE,ERRORCODES
-77.047457131800002,38.903682865900002,2012107,Single,21112114,11053492,South,3030.34423828,-77.04745483,38.90367508,,,-77.04745483,38.90374374,L ST NW,2100,Mackay,Active,Removed,1,N,22889,202002123354,NoPolicy_
-76.990190878099995,38.8764154064,2012108,Single,61511201,13001202,East,1234.12207031,-76.9901886,38.87640762,,,-76.99026489,38.87640762,M ST SE,1200,IPS Cash and Card,Active,Installed,1,N,21213,202002123354,
-76.990023032600007,38.893795170099999,2012109,Multi,61271292,12001202,East,378.77178955,0,0,-76.990021,38.893787,-76.990242,38.89378738,C ST SW,1200,Strada,Active,Removed,16,N,21336,202002123354,NoPolicy_XYDataInvalid_
-76.990190878099995,38.8764154064,2012110,Single,61511203,13001202,East,1234.12207031,-76.9901886,38.87640762,,,-76.99026489,38.87640762,M ST SE,1200,IPS Cash and Card,Unknown,Installed,1,N,21213,202002123354,
-77.024942780800004,38.887481844200003,2012111,Single,63010912,14047972,South,1377.50891113,-77.02494049,38.88747406,,,-77.02494049,38.88756561,INDEPENDENCE AVE SW,900,IPS Cash and Card,Active,Removed,1,N,21384,202002123354,NoPolicy_
-77.024881746,38.887687837199998,2012112,Single,63010913,14047972,North,1372.18896484,-77.02487946,38.88768005,,,-77.02487946,38.88756561,INDEPENDENCE AVE SW,900,IPS Cash and Card,Active,Removed,1,N,21381,202002123354,NoPolicy_
-77.024858858,38.887481844100002,2012113,Single,63010910,14047972,South,1370.2277832,-77.02485657,38.88747406,,,-77.02485657,38.88756561,INDEPENDENCE AVE SW,900,IPS Cash and Card,Active,Removed,1,N,21384,202002123354,NoPolicy_
-77.024706270099998,38.887691652900003,2012114,Single,63010911,14047972,North,1356.96435547,-77.02470398,38.88768387,,,-77.02470398,38.88756561,INDEPENDENCE AVE SW,900,IPS Cash and Card,Unknown,Removed,1,N,21381,202002123354,NoPolicy_
-77.010095976,38.897792973199998,2012115,Single,62240024,11059602,Southwest,95.38639069,-77.01009369,38.89778519,,,-77.01004028,38.8978653,MASSACHUSETTS AVE NW,0,Duncan Single-Space,Active,Removed,1,N,22943,202002123354,NoPolicy_
-77.010027311499996,38.897964634,2012116,Single,62240025,11059602,Northeast,98.90926361,-77.01002502,38.89795685,,,-77.01007843,38.89788055,MASSACHUSETTS AVE NW,0,Duncan Single-Space,Active,Removed,1,N,22942,202002123354,NoPolicy_
-77.010095976,38.897792973199998,2012117,Single,62240026,11059602,Southwest,95.38639069,-77.01009369,38.89778519,,,-77.01004028,38.8978653,MASSACHUSETTS AVE NW,0,Duncan Single-Space,Active,Removed,1,N,22943,202002123354,NoPolicy_
-77.010027311499996,38.897964634,2012118,Single,62240027,11059602,Northeast,98.90926361,-77.01002502,38.89795685,,,-77.01007843,38.89788055,MASSACHUSETTS AVE NW,0,Duncan Single-Space,Active,Removed,1,N,22942,202002123354,NoPolicy_
-77.009966275799997,38.897743382599998,2012119,Single,62240020,11059602,Southwest,82.86481476,-77.00996399,38.8977356,,,-77.00991058,38.89781189,MASSACHUSETTS AVE NW,0,Duncan Single-Space,Active,Removed,1,N,22943,202002123354,NoPolicy_
-77.010157010599997,38.898014225700003,2012120,Single,62240021,11059602,Northeast,111.43080902,-77.01015472,38.89800644,,,-77.0102005,38.89793396,MASSACHUSETTS AVE NW,0,Duncan Single-Space,Active,Removed,1,N,22942,202002123354,NoPolicy_
-77.009966275799997,38.897743382599998,2012121,Single,62240022,11059602,Southwest,82.86481476,-77.00996399,38.8977356,,,-77.00991058,38.89781189,MASSACHUSETTS AVE NW,0,Duncan Single-Space,Active,Removed,1,N,22943,202002123354,NoPolicy_
-77.010157010599997,38.898014225700003,2012122,Single,62240023,11059602,Northeast,111.43080902,-77.01015472,38.89800644,,,-77.0102005,38.89793396,MASSACHUSETTS AVE NW,0,Duncan Single-Space,Active,Removed,1,N,22942,202002123354,NoPolicy_
